University,State,Zip Code,World Ranking,National Ranking,Year,Coeficient
Baylor College of Medicine,TX,77030-349,101,51,2016,6
Baylor College of Medicine,TX,77030-349,101,49,2017,6
Baylor College of Medicine,TX,77030-349,101,47,2018,6
Baylor College of Medicine,TX,77030-349,101,46,2019,6
Baylor College of Medicine,TX,77030-349,151,57,2020,6
Baylor University,TX,76798,501,138,2019,4
Baylor University,TX,76798,501,134,2020,4
Rice University,TX,77005,72,38,2016,7
Rice University,TX,77005,74,37,2017,7
Rice University,TX,77005,70,34,2018,7
Rice University,TX,77005,95,41,2019,7
Rice University,TX,77005,101,42,2020,6
Southern Methodist University,TX,75275-022,501,138,2019,4
Southern Methodist University,TX,75275-022,501,134,2020,4
Texas A&M University,TX,77843,101,51,2016,6
Texas A&M University,TX,77843,101,49,2017,6
Texas A&M University,TX,77843,151,59,2018,6
Texas A&M University,TX,77843,151,59,2019,6
Texas A&M University,TX,77843,151,57,2020,6
Texas Tech University,TX,79409-500,401,120,2016,4
Texas Tech University,TX,79409-500,401,118,2018,4
Texas Tech University,TX,79409-500,501,138,2019,4
Texas Tech University,TX,79409-500,401,115,2020,4
The University of Texas at Austin,TX,78712,44,30,2016,8
The University of Texas at Austin,TX,78712,51,30,2017,7
The University of Texas at Austin,TX,78712,40,27,2018,8
The University of Texas at Austin,TX,78712,45,28,2019,8
The University of Texas at Austin,TX,78712,41,25,2020,8
The University of Texas at San Antonio,TX,78249,601,156,2019,4
The University of Texas at San Antonio,TX,78249,601,155,2020,4
University of Houston,TX,77204-201,201,72,2016,5
University of Houston,TX,77204-201,201,71,2017,5
University of Houston,TX,77204-201,201,70,2018,5
University of Houston,TX,77204-201,201,67,2019,5
University of Houston,TX,77204-201,201,66,2020,5
University of North Texas,TX,76203-127,301,99,2016,5
University of North Texas,TX,76203-127,301,100,2017,5
University of North Texas,TX,76203-127,301,96,2018,5
University of North Texas,TX,76203-127,401,117,2019,4
University of North Texas,TX,76203-127,401,115,2020,4
University of Texas at El Paso,TX,79968,701,172,2019,4
University of Texas at El Paso,TX,79968,601,155,2020,4
